hastalik,aciklama,cilttipi,onerilen_urun,cilt_onerilen_urun
Kurdeşen (Ürtiker),13. Yaz aylarında güneş nedeniyle cildim şişiyor ve kaşınıyor.,hassas,"Antihistaminik krem, Seramid bariyer krem, Aloe vera jel","Termal su spreyi, Bariyer onarıcı krem, Anti-Redness krem"
Kurdeşen (Ürtiker),14. Güneşin etkisiyle cildimde şişme ve kaşıntı meydana geliyor.,hassas,"Antihistaminik krem, Seramid bariyer krem, Aloe vera jel","Termal su spreyi, Bariyer onarıcı krem, Anti-Redness krem"
Kurdeşen (Ürtiker),"15. Güneşe karşı cildim aşırı tepki veriyor, şişiyor ve kaşınıyor.",hassas,"Antihistaminik krem, Seramid bariyer krem, Aloe vera jel","Termal su spreyi, Bariyer onarıcı krem, Anti-Redness krem"
Kurdeşen (Ürtiker),"16. Güneşlendiğimde cildim şişip kaşınıyor, çok zorlanıyorum.",hassas,"Antihistaminik krem, Seramid bariyer krem, Aloe vera jel","Termal su spreyi, Bariyer onarıcı krem, Anti-Redness krem"
Kurdeşen (Ürtiker),"17. Güneş cildime iyi gelmiyor, hemen şişiyor ve kaşınıyor.",hassas,"Antihistaminik krem, Seramid bariyer krem, Aloe vera jel","Termal su spreyi, Bariyer onarıcı krem, Anti-Redness krem"
Kurdeşen (Ürtiker),"18. Cildim güneşe çok duyarlı, şişkinlik ve kaşıntı yapıyor.",hassas,"Antihistaminik krem, Seramid bariyer krem, Aloe vera jel","Termal su spreyi, Bariyer onarıcı krem, Anti-Redness krem"
Kurdeşen (Ürtiker),19. Güneş yüzünden cildimde oluşan şişlik ve kaşıntı nedeniyle yazın keyfini çıkaramıyorum.,hassas,"Antihistaminik krem, Seramid bariyer krem, Aloe vera jel","Termal su spreyi, Bariyer onarıcı krem, Anti-Redness krem"
Kurdeşen (Ürtiker),20. Güneşe alerjim yüzünden yıllardır yaz tatillerimin tadını çıkaramıyorum.,hassas,"Antihistaminik krem, Seramid bariyer krem, Aloe vera jel","Termal su spreyi, Bariyer onarıcı krem, Anti-Redness krem"
Kurdeşen (Ürtiker),21. Cildimdeki güneş alerjisi nedeniyle yaz mevsimini rahat geçiremiyorum.,hassas,"Antihistaminik krem, Seramid bariyer krem, Aloe vera jel","Termal su spreyi, Bariyer onarıcı krem, Anti-Redness krem"
Kurdeşen (Ürtiker),"22. Güneş, cildimde şişlik ve kaşıntıya neden olduğu için yaz aylarından korkuyorum.",hassas,"Antihistaminik krem, Seramid bariyer krem, Aloe vera jel","Termal su spreyi, Bariyer onarıcı krem, Anti-Redness krem"
Kurdeşen (Ürtiker),"23. Güneş alerjisi yüzünden yazın dışarı çıkamıyorum, cildim şişiyor ve kaşınıyor.",hassas,"Antihistaminik krem, Seramid bariyer krem, Aloe vera jel","Termal su spreyi, Bariyer onarıcı krem, Anti-Redness krem"
Kurdeşen (Ürtiker),24. Güneşten korunmama rağmen cildimde şişlik ve kaşıntı oluyor.,hassas,"Antihistaminik krem, Seramid bariyer krem, Aloe vera jel","Termal su spreyi, Bariyer onarıcı krem, Anti-Redness krem"
Kurdeşen (Ürtiker),25. Güneş kremi kullansam bile cildim şişiyor ve kaşınıyor.,hassas,"Antihistaminik krem, Seramid bariyer krem, Aloe vera jel","Termal su spreyi, Bariyer onarıcı krem, Anti-Redness krem"
Kurdeşen (Ürtiker),"26.  Güneşe karşı hassas bir cildim var, hemen şişiyor ve kaşınıyor. Ne yapabilirim?",hassas,"Antihistaminik krem, Seramid bariyer krem, Aloe vera jel","Termal su spreyi, Bariyer onarıcı krem, Anti-Redness krem"
Kurdeşen (Ürtiker),27. Cildimdeki bu güneş hassasiyeti için bir çözüm var mı?,hassas,"Antihistaminik krem, Seramid bariyer krem, Aloe vera jel","Termal su spreyi, Bariyer onarıcı krem, Anti-Redness krem"
Kurdeşen (Ürtiker),28. Güneş alerjim için ne önerirsiniz?,hassas,"Antihistaminik krem, Seramid bariyer krem, Aloe vera jel","Termal su spreyi, Bariyer onarıcı krem, Anti-Redness krem"
Kurdeşen (Ürtiker),29. Güneş nedeniyle oluşan cilt sorunlarım için bir tedavi yöntemi var mı?,hassas,"Antihistaminik krem, Seramid bariyer krem, Aloe vera jel","Termal su spreyi, Bariyer onarıcı krem, Anti-Redness krem"
Kurdeşen (Ürtiker),30. Bu güneş alerjisinden nasıl kurtulabilirim?,hassas,"Antihistaminik krem, Seramid bariyer krem, Aloe vera jel","Termal su spreyi, Bariyer onarıcı krem, Anti-Redness krem"
Gül hastalığı,1. Hamileliğimden beri cildimde değişiklikler fark ettim ve biraz endişeliyim.,hassas,"Azelaik asit krem, Sükralfat bariyer krem, Termal sprey","Termal su spreyi, Bariyer onarıcı krem, Anti-Redness krem"
Gül hastalığı,2. Yüzümde daha önce hiç görmediğim kızarıklıklar ve şişlikler oluştu.,hassas,"Azelaik asit krem, Sükralfat bariyer krem, Termal sprey","Termal su spreyi, Bariyer onarıcı krem, Anti-Redness krem"
Gül hastalığı,"3. Cildimde son zamanlarda, özellikle yüzümde, kızarıklık ve şişlik gibi problemler yaşıyorum.",hassas,"Azelaik asit krem, Sükralfat bariyer krem, Termal sprey","Termal su spreyi, Bariyer onarıcı krem, Anti-Redness krem"
Gül hastalığı,4. Hamilelikten beri yüzümde kırmızı lekeler ve kabarıklıklar var.,hassas,"Azelaik asit krem, Sükralfat bariyer krem, Termal sprey","Termal su spreyi, Bariyer onarıcı krem, Anti-Redness krem"
Gül hastalığı,5. Acaba bu cilt sorunlarım hamilelikle ilgili olabilir mi diye düşünüyorum.,hassas,"Azelaik asit krem, Sükralfat bariyer krem, Termal sprey","Termal su spreyi, Bariyer onarıcı krem, Anti-Redness krem"
Gül hastalığı,6. Cildimde özellikle yüz bölgemde hamilelikten kaynaklı olabileceğini düşündüğüm kızarıklıklar ve şişlikler var.,hassas,"Azelaik asit krem, Sükralfat bariyer krem, Termal sprey","Termal su spreyi, Bariyer onarıcı krem, Anti-Redness krem"
Gül hastalığı,7. Yüzümde oluşan kızarıklık ve şişlikler beni rahatsız ediyor ve hamilelikle bağlantılı olup olmadığını merak ediyorum.,hassas,"Azelaik asit krem, Sükralfat bariyer krem, Termal sprey","Termal su spreyi, Bariyer onarıcı krem, Anti-Redness krem"
Gül hastalığı,"8. Hamileliğim süresince cildimde, daha çok yüzümde,  kırmızı lekeler ve şişkinlikler ortaya çıktı.",hassas,"Azelaik asit krem, Sükralfat bariyer krem, Termal sprey","Termal su spreyi, Bariyer onarıcı krem, Anti-Redness krem"
Gül hastalığı,9. Daha önce hiç böyle bir sorun yaşamamıştım ama hamile kaldığımdan beri cildimde kızarıklıklar ve kabartılar oluşuyor.,hassas,"Azelaik asit krem, Sükralfat bariyer krem, Termal sprey","Termal su spreyi, Bariyer onarıcı krem, Anti-Redness krem"
Gül hastalığı,10. Hamilelik döneminde cildim hassaslaştı ve yüzümde kırmızı lekeler ve şişlikler belirdi.,hassas,"Azelaik asit krem, Sükralfat bariyer krem, Termal sprey","Termal su spreyi, Bariyer onarıcı krem, Anti-Redness krem"
Gül hastalığı,11. Yüzümdeki kızarıklıklar ve şişlikler hamilelikle alakalı olabilir mi diye endişeleniyorum.,hassas,"Azelaik asit krem, Sükralfat bariyer krem, Termal sprey","Termal su spreyi, Bariyer onarıcı krem, Anti-Redness krem"
Gül hastalığı,"12. Cildimde, özellikle yüzümde, hamileliğimden beri fark ettiğim kızarıklıklar ve kabarmalar var.",hassas,"Azelaik asit krem, Sükralfat bariyer krem, Termal sprey","Termal su spreyi, Bariyer onarıcı krem, Anti-Redness krem"
Gül hastalığı,13. Hamileliğimden bu yana yüzümde kırmızı lekeler ve şişlikler oluştu ve bu durum beni kaygılandırıyor.,hassas,"Azelaik asit krem, Sükralfat bariyer krem, Termal sprey","Termal su spreyi, Bariyer onarıcı krem, Anti-Redness krem"
Gül hastalığı,"14. Cildim, özellikle yüzümdeki kızarıklıklar ve şişlikler nedeniyle son zamanlarda sorunlu. Hamileliğimle ilgili olabilir mi diye merak ediyorum.",hassas,"Azelaik asit krem, Sükralfat bariyer krem, Termal sprey","Termal su spreyi, Bariyer onarıcı krem, Anti-Redness krem"
Gül hastalığı,15. Yüzümde daha önce olmayan kızarıklıklar ve şişlikler oluştu. Acaba hamilelik hormonlarımla ilgili olabilir mi?,hassas,"Azelaik asit krem, Sükralfat bariyer krem, Termal sprey","Termal su spreyi, Bariyer onarıcı krem, Anti-Redness krem"
Gül hastalığı,"16. Hamilelikten beri cildimde, özellikle de yüzümde, bazı değişiklikler meydana geldi. Kızarıklıklar ve şişlikler var.",hassas,"Azelaik asit krem, Sükralfat bariyer krem, Termal sprey","Termal su spreyi, Bariyer onarıcı krem, Anti-Redness krem"
Gül hastalığı,17. Son zamanlarda yüzümde kırmızı lekeler ve şişlikler gibi cilt sorunları yaşıyorum ve bunun hamilelikle ilgisi olup olmadığını bilmiyorum.,hassas,"Azelaik asit krem, Sükralfat bariyer krem, Termal sprey","Termal su spreyi, Bariyer onarıcı krem, Anti-Redness krem"
Gül hastalığı,18. Hamileliğim boyunca cildimde bazı değişiklikler oldu. Yüzümde kızarıklık ve kabarıklıklar fark ettim.,hassas,"Azelaik asit krem, Sükralfat bariyer krem, Termal sprey","Termal su spreyi, Bariyer onarıcı krem, Anti-Redness krem"
Gül hastalığı,19. Yüzümde son zamanlarda oluşan kızarıklık ve şişliklerin hamilelikle ilgili olup olmadığını öğrenmek istiyorum.,hassas,"Azelaik asit krem, Sükralfat bariyer krem, Termal sprey","Termal su spreyi, Bariyer onarıcı krem, Anti-Redness krem"
Gül hastalığı,20. Cildimde son zamanlarda oluşan kızarıklık ve şişliklerden rahatsızım. Bunun hamileliğimle bir ilgisi olabilir mi?,hassas,"Azelaik asit krem, Sükralfat bariyer krem, Termal sprey","Termal su spreyi, Bariyer onarıcı krem, Anti-Redness krem"
Gül hastalığı,21. Hamile kaldığımdan beri yüzümde kızarıklık ve şişlik gibi sorunlar yaşıyorum.,hassas,"Azelaik asit krem, Sükralfat bariyer krem, Termal sprey","Termal su spreyi, Bariyer onarıcı krem, Anti-Redness krem"
Gül hastalığı,22. Yüzümdeki kızarıklık ve şişlikler hamilelikten kaynaklanıyor olabilir mi diye düşünüyorum.,hassas,"Azelaik asit krem, Sükralfat bariyer krem, Termal sprey","Termal su spreyi, Bariyer onarıcı krem, Anti-Redness krem"
Gül hastalığı,23. Cildimle ilgili sorunlarım var. Yüzümde kızarıklıklar ve şişlikler var ve bunun hamileliğimle ilgili olup olmadığından emin değilim.,hassas,"Azelaik asit krem, Sükralfat bariyer krem, Termal sprey","Termal su spreyi, Bariyer onarıcı krem, Anti-Redness krem"
Gül hastalığı,24. Hamilelik döneminde cilt problemleri yaşamaya başladım. Yüzümde kızarıklıklar ve şişkinlikler belirdi.,hassas,"Azelaik asit krem, Sükralfat bariyer krem, Termal sprey","Termal su spreyi, Bariyer onarıcı krem, Anti-Redness krem"
Gül hastalığı,25. Yüzümdeki kızarıklıklar ve şişlikler beni rahatsız ediyor. Hamilelik nedeniyle mi oluştular acaba?,hassas,"Azelaik asit krem, Sükralfat bariyer krem, Termal sprey","Termal su spreyi, Bariyer onarıcı krem, Anti-Redness krem"
Gül hastalığı,"26. Cildim, özellikle de yüzüm, hamilelikten beri farklı. Kızarıklıklar ve şişlikler var.",hassas,"Azelaik asit krem, Sükralfat bariyer krem, Termal sprey","Termal su spreyi, Bariyer onarıcı krem, Anti-Redness krem"
Gül hastalığı,27. Hamilelikten bu yana yüzümdeki cilt sorunları arttı. Kırmızı lekeler ve şişlikler ortaya çıktı.,hassas,"Azelaik asit krem, Sükralfat bariyer krem, Termal sprey","Termal su spreyi, Bariyer onarıcı krem, Anti-Redness krem"
Gül hastalığı,28. Yüzümdeki kızarıklık ve şişlikler için hamileyken ilaç kullanmak istemiyorum.,hassas,"Azelaik asit krem, Sükralfat bariyer krem, Termal sprey","Termal su spreyi, Bariyer onarıcı krem, Anti-Redness krem"
Gül hastalığı,29. Hamilelik sürecinde yüzümde oluşan kızarıklık ve şişlikler için hangi doğal yöntemleri kullanabilirim?,hassas,"Azelaik asit krem, Sükralfat bariyer krem, Termal sprey","Termal su spreyi, Bariyer onarıcı krem, Anti-Redness krem"
Gül hastalığı,30. Hamile olduğum için ilaç kullanmaktan çekiniyorum. Yüzümdeki kızarıklık ve şişlikler için ne yapabilirim?,hassas,"Azelaik asit krem, Sükralfat bariyer krem, Termal sprey","Termal su spreyi, Bariyer onarıcı krem, Anti-Redness krem"
Egzama,"1. Egzamam yine alevlendi, sanırım stres kaynaklı.",kuru,"Seramid nemlendirici, Topikal kortikosteroid krem, Lipid bariyer krem","Seramid nemlendirici, Lipid bariyer krem, Yağ bazlı temizleyici"
Egzama,"2. Yoğun bir dönemden geçiyorum ve cildim bundan etkileniyor, egzamam tekrarladı.",kuru,"Seramid nemlendirici, Topikal kortikosteroid krem, Lipid bariyer krem","Seramid nemlendirici, Lipid bariyer krem, Yağ bazlı temizleyici"
Egzama,3. Stres yüzünden egzamam nüksetti gibi hissediyorum.,kuru,"Seramid nemlendirici, Topikal kortikosteroid krem, Lipid bariyer krem","Seramid nemlendirici, Lipid bariyer krem, Yağ bazlı temizleyici"
Egzama,"4. Son günlerde cildim çok hassas, egzamam alevlenmiş durumda.  Muhtemelen stresle alakalı.",kuru,"Seramid nemlendirici, Topikal kortikosteroid krem, Lipid bariyer krem","Seramid nemlendirici, Lipid bariyer krem, Yağ bazlı temizleyici"
Egzama,5. Çok stresliyim ve egzamamın tekrar ortaya çıktığını fark ettim.,kuru,"Seramid nemlendirici, Topikal kortikosteroid krem, Lipid bariyer krem","Seramid nemlendirici, Lipid bariyer krem, Yağ bazlı temizleyici"
Egzama,6. Egzamamın tetikleyicisi bu aralar yaşadığım stres olabilir.,kuru,"Seramid nemlendirici, Topikal kortikosteroid krem, Lipid bariyer krem","Seramid nemlendirici, Lipid bariyer krem, Yağ bazlı temizleyici"
Egzama,"7. Cildimde egzama belirtileri yeniden başladı, yoğunluktan kaynaklanıyor olabilir.",kuru,"Seramid nemlendirici, Topikal kortikosteroid krem, Lipid bariyer krem","Seramid nemlendirici, Lipid bariyer krem, Yağ bazlı temizleyici"
Egzama,"8. Üzerimde çok fazla yük var ve sanırım bu, egzamamı tetikledi.",kuru,"Seramid nemlendirici, Topikal kortikosteroid krem, Lipid bariyer krem","Seramid nemlendirici, Lipid bariyer krem, Yağ bazlı temizleyici"
Egzama,"9. Egzamamın alevlenmesinin sebebi, yaşadığım stresli günler olabilir.",kuru,"Seramid nemlendirici, Topikal kortikosteroid krem, Lipid bariyer krem","Seramid nemlendirici, Lipid bariyer krem, Yağ bazlı temizleyici"
Egzama,"10. Son zamanlardaki stres, egzamamı olumsuz etkilemiş gibi görünüyor.",kuru,"Seramid nemlendirici, Topikal kortikosteroid krem, Lipid bariyer krem","Seramid nemlendirici, Lipid bariyer krem, Yağ bazlı temizleyici"
Egzama,"11.  Yoğun tempo egzamamı tetiklemiş olabilir, cildimde belirtiler var.",kuru,"Seramid nemlendirici, Topikal kortikosteroid krem, Lipid bariyer krem","Seramid nemlendirici, Lipid bariyer krem, Yağ bazlı temizleyici"
Egzama,12.  Stresli bir dönemdeyim ve egzamam bu yüzden alevlenmiş gibi.,kuru,"Seramid nemlendirici, Topikal kortikosteroid krem, Lipid bariyer krem","Seramid nemlendirici, Lipid bariyer krem, Yağ bazlı temizleyici"
Egzama,"13.  Cildimde egzama belirtileri gözlemliyorum, sanırım stres etkiliyor.",kuru,"Seramid nemlendirici, Topikal kortikosteroid krem, Lipid bariyer krem","Seramid nemlendirici, Lipid bariyer krem, Yağ bazlı temizleyici"
Egzama,"14.  Egzamam tekrarladı, yaşadığım yoğunluktan kaynaklanıyor olabilir.",kuru,"Seramid nemlendirici, Topikal kortikosteroid krem, Lipid bariyer krem","Seramid nemlendirici, Lipid bariyer krem, Yağ bazlı temizleyici"
Egzama,15.  Üzerimdeki baskı arttıkça egzamam da alevleniyor gibi hissediyorum.,kuru,"Seramid nemlendirici, Topikal kortikosteroid krem, Lipid bariyer krem","Seramid nemlendirici, Lipid bariyer krem, Yağ bazlı temizleyici"
Egzama,"16.  Son zamanlarda yaşadığım stres, egzama belirtilerimi artırdı.",kuru,"Seramid nemlendirici, Topikal kortikosteroid krem, Lipid bariyer krem","Seramid nemlendirici, Lipid bariyer krem, Yağ bazlı temizleyici"
Egzama,"17.  Egzamam yeniden ortaya çıktı, muhtemelen stresle bağlantılı.",kuru,"Seramid nemlendirici, Topikal kortikosteroid krem, Lipid bariyer krem","Seramid nemlendirici, Lipid bariyer krem, Yağ bazlı temizleyici"
Egzama,"18.  Cildimdeki egzama, yaşadığım stresli süreçten etkileniyor.",kuru,"Seramid nemlendirici, Topikal kortikosteroid krem, Lipid bariyer krem","Seramid nemlendirici, Lipid bariyer krem, Yağ bazlı temizleyici"
Egzama,19.  Yoğun bir dönemden geçiyorum ve egzamam bu yüzden nüksetti.,kuru,"Seramid nemlendirici, Topikal kortikosteroid krem, Lipid bariyer krem","Seramid nemlendirici, Lipid bariyer krem, Yağ bazlı temizleyici"
Egzama,"20.  Stres, egzamamı tetikleyen faktörlerden biri olabilir.",kuru,"Seramid nemlendirici, Topikal kortikosteroid krem, Lipid bariyer krem","Seramid nemlendirici, Lipid bariyer krem, Yağ bazlı temizleyici"
Egzama,"21.  Cildim, yaşadığım stres nedeniyle egzama belirtileri gösteriyor.",kuru,"Seramid nemlendirici, Topikal kortikosteroid krem, Lipid bariyer krem","Seramid nemlendirici, Lipid bariyer krem, Yağ bazlı temizleyici"
Egzama,"22.  Egzamam alevlendi, sanırım bunun sebebi yaşadığım yoğunluk.",kuru,"Seramid nemlendirici, Topikal kortikosteroid krem, Lipid bariyer krem","Seramid nemlendirici, Lipid bariyer krem, Yağ bazlı temizleyici"
Egzama,"23.  Stresli günlerim, egzamamın tekrarlamasına neden olmuş olabilir.",kuru,"Seramid nemlendirici, Topikal kortikosteroid krem, Lipid bariyer krem","Seramid nemlendirici, Lipid bariyer krem, Yağ bazlı temizleyici"
Egzama,"24.  Cildimdeki rahatsızlık, stres kaynaklı egzama alevlenmesi olabilir.",kuru,"Seramid nemlendirici, Topikal kortikosteroid krem, Lipid bariyer krem","Seramid nemlendirici, Lipid bariyer krem, Yağ bazlı temizleyici"
Egzama,"25.  Egzamamın tekrarlaması,  üzerimdeki stresin bir göstergesi olabilir.",kuru,"Seramid nemlendirici, Topikal kortikosteroid krem, Lipid bariyer krem","Seramid nemlendirici, Lipid bariyer krem, Yağ bazlı temizleyici"
Egzama,"26.  Yaşadığım stres, egzamam üzerinde olumsuz etki yaratıyor gibi.",kuru,"Seramid nemlendirici, Topikal kortikosteroid krem, Lipid bariyer krem","Seramid nemlendirici, Lipid bariyer krem, Yağ bazlı temizleyici"
Egzama,"27.  Cildimdeki egzama,  yoğun duygusal dönemimden etkileniyor olabilir.",kuru,"Seramid nemlendirici, Topikal kortikosteroid krem, Lipid bariyer krem","Seramid nemlendirici, Lipid bariyer krem, Yağ bazlı temizleyici"
Egzama,"28.  Stresle başa çıkmaya çalışırken, egzamam da alevlendi.",kuru,"Seramid nemlendirici, Topikal kortikosteroid krem, Lipid bariyer krem","Seramid nemlendirici, Lipid bariyer krem, Yağ bazlı temizleyici"
Egzama,"29.  Egzamamın nüksetmesi,  yaşadığım zorluklarla bağlantılı olabilir.",kuru,"Seramid nemlendirici, Topikal kortikosteroid krem, Lipid bariyer krem","Seramid nemlendirici, Lipid bariyer krem, Yağ bazlı temizleyici"
Egzama,"30.  Yoğun bir süreçten geçiyorum ve bu, cildimdeki egzamayı tetiklemiş gibi.",kuru,"Seramid nemlendirici, Topikal kortikosteroid krem, Lipid bariyer krem","Seramid nemlendirici, Lipid bariyer krem, Yağ bazlı temizleyici"
Gül hastalığı,1. Sıcak havada yoğun egzersiz sonrası yüzüm kızarıyor ve yanıyor.,hassas,"Azelaik asit krem, Sükralfat bariyer krem, Termal sprey","Termal su spreyi, Bariyer onarıcı krem, Anti-Redness krem"
Gül hastalığı,"2. Yüzüm, özellikle sıcak günlerde spor yaptıktan sonra alev alev oluyor.",hassas,"Azelaik asit krem, Sükralfat bariyer krem, Termal sprey","Termal su spreyi, Bariyer onarıcı krem, Anti-Redness krem"
Gül hastalığı,"3. Antrenmanlardan sonra, özellikle sıcakta, yüzümde kızarıklık ve yanma hissediyorum.",hassas,"Azelaik asit krem, Sükralfat bariyer krem, Termal sprey","Termal su spreyi, Bariyer onarıcı krem, Anti-Redness krem"
Gül hastalığı,"4. Yoğun egzersizden sonra, sıcak havalarda yüzümde ısı artışı ve kızarıklık oluyor.",hassas,"Azelaik asit krem, Sükralfat bariyer krem, Termal sprey","Termal su spreyi, Bariyer onarıcı krem, Anti-Redness krem"
Gül hastalığı,5. Sıcakta spor yaptığımda yüzüm kızarıyor ve rahatsız edici bir sıcaklık hissediyorum.,hassas,"Azelaik asit krem, Sükralfat bariyer krem, Termal sprey","Termal su spreyi, Bariyer onarıcı krem, Anti-Redness krem"
Gül hastalığı,"6. Antrenmandan sonra, özellikle hava sıcaksa, yüzüm kıpkırmızı oluyor.",hassas,"Azelaik asit krem, Sükralfat bariyer krem, Termal sprey","Termal su spreyi, Bariyer onarıcı krem, Anti-Redness krem"
Gül hastalığı,"7. Yüzüm, sıcak havada yaptığım ağır antrenmanlar sonrasında yanıyor gibi hissediyorum.",hassas,"Azelaik asit krem, Sükralfat bariyer krem, Termal sprey","Termal su spreyi, Bariyer onarıcı krem, Anti-Redness krem"
Gül hastalığı,"8. Egzersiz sonrası, özellikle sıcakta, yüzümün kızardığını ve karıncalandığını fark ediyorum.",hassas,"Azelaik asit krem, Sükralfat bariyer krem, Termal sprey","Termal su spreyi, Bariyer onarıcı krem, Anti-Redness krem"
Gül hastalığı,9. Sıcakta antrenman yaptığım zamanlarda yüzümde yanma ve kızarıklık oluşuyor.,hassas,"Azelaik asit krem, Sükralfat bariyer krem, Termal sprey","Termal su spreyi, Bariyer onarıcı krem, Anti-Redness krem"
Gül hastalığı,"10. Yoğun spor sonrası, hava sıcak olduğunda, yüzümde kızarma ve batma hissi oluyor.",hassas,"Azelaik asit krem, Sükralfat bariyer krem, Termal sprey","Termal su spreyi, Bariyer onarıcı krem, Anti-Redness krem"
Gül hastalığı,"11. Antrenman sonrası yüzüm, özellikle sıcakta, aşırı ısınıyor ve kızarıyor.",hassas,"Azelaik asit krem, Sükralfat bariyer krem, Termal sprey","Termal su spreyi, Bariyer onarıcı krem, Anti-Redness krem"
Gül hastalığı,12. Sıcak havalarda yaptığım yoğun egzersizlerden sonra yüzümde bir yanma hissi oluşuyor ve kızarıyor.,hassas,"Azelaik asit krem, Sükralfat bariyer krem, Termal sprey","Termal su spreyi, Bariyer onarıcı krem, Anti-Redness krem"
Gül hastalığı,"13. Spor yaptıktan sonra, sıcak günlerde, yüzümde kızarıklık ve karıncalanma meydana geliyor.",hassas,"Azelaik asit krem, Sükralfat bariyer krem, Termal sprey","Termal su spreyi, Bariyer onarıcı krem, Anti-Redness krem"
Gül hastalığı,"14. Yoğun antrenmanlar yüzümü, özellikle sıcakta, kızartıyor ve rahatsız ediyor.",hassas,"Azelaik asit krem, Sükralfat bariyer krem, Termal sprey","Termal su spreyi, Bariyer onarıcı krem, Anti-Redness krem"
Gül hastalığı,15. Hava sıcakken spor yaptıktan sonra yüzüm kızarıyor ve yanıyor gibi hissediyorum.,hassas,"Azelaik asit krem, Sükralfat bariyer krem, Termal sprey","Termal su spreyi, Bariyer onarıcı krem, Anti-Redness krem"
Gül hastalığı,"16. Antrenmanlardan sonra, özellikle de sıcak havalarda, yüzümde kızarıklık ve sıcaklık artışı gözlemliyorum.",hassas,"Azelaik asit krem, Sükralfat bariyer krem, Termal sprey","Termal su spreyi, Bariyer onarıcı krem, Anti-Redness krem"
Gül hastalığı,17. Sıcakta egzersiz yaptığımda yüzüm kıpkırmızı oluyor ve karıncalanıyor.,hassas,"Azelaik asit krem, Sükralfat bariyer krem, Termal sprey","Termal su spreyi, Bariyer onarıcı krem, Anti-Redness krem"
Gül hastalığı,"18. Yoğun antrenmanlar sonrasında, sıcak havada, yüzümde bir yanma ve kızarma oluşuyor.",hassas,"Azelaik asit krem, Sükralfat bariyer krem, Termal sprey","Termal su spreyi, Bariyer onarıcı krem, Anti-Redness krem"
Gül hastalığı,"19. Yüzüm, sıcak günlerde ağır egzersizlerden sonra kızarıp yanıyor.",hassas,"Azelaik asit krem, Sükralfat bariyer krem, Termal sprey","Termal su spreyi, Bariyer onarıcı krem, Anti-Redness krem"
Gül hastalığı,"20. Spor sonrası, özellikle sıcak havalarda, yüzümde kızarıklık ve bir yanma hissi oluyor.",hassas,"Azelaik asit krem, Sükralfat bariyer krem, Termal sprey","Termal su spreyi, Bariyer onarıcı krem, Anti-Redness krem"
Gül hastalığı,21. Sıcak havada antrenman yaptıktan sonra yüzümde kızarıklık ve iğne batması hissi oluşuyor.,hassas,"Azelaik asit krem, Sükralfat bariyer krem, Termal sprey","Termal su spreyi, Bariyer onarıcı krem, Anti-Redness krem"
Gül hastalığı,"22. Yoğun egzersiz sonrasında, sıcakta, yüzüm kızardığı gibi aynı zamanda karıncalanıyor.",hassas,"Azelaik asit krem, Sükralfat bariyer krem, Termal sprey","Termal su spreyi, Bariyer onarıcı krem, Anti-Redness krem"
Gül hastalığı,"23. Yüzüm, sıcak havalarda yoğun spor sonrası kızarıyor ve hafiften yanma hissi veriyor.",hassas,"Azelaik asit krem, Sükralfat bariyer krem, Termal sprey","Termal su spreyi, Bariyer onarıcı krem, Anti-Redness krem"
Gül hastalığı,"24. Antrenman sonrası, özellikle sıcak günlerde, yüzüm alev alev oluyor ve karıncalanıyor.",hassas,"Azelaik asit krem, Sükralfat bariyer krem, Termal sprey","Termal su spreyi, Bariyer onarıcı krem, Anti-Redness krem"
Gül hastalığı,25. Sıcakta egzersiz yapınca yüzüm kızarıyor ve sanki iğne batıyormuş gibi hissediyorum.,hassas,"Azelaik asit krem, Sükralfat bariyer krem, Termal sprey","Termal su spreyi, Bariyer onarıcı krem, Anti-Redness krem"
Gül hastalığı,"26. Yoğun antrenman sonrası, hava sıcakken, yüzüm kızarıyor ve yanma hissi oluşuyor.",hassas,"Azelaik asit krem, Sükralfat bariyer krem, Termal sprey","Termal su spreyi, Bariyer onarıcı krem, Anti-Redness krem"
Gül hastalığı,"27. Yüzüm, sıcakta yaptığım ağır antrenmanlar sonucu  kızarıyor ve  rahatsız edici bir sıcaklık hissediyorum.",hassas,"Azelaik asit krem, Sükralfat bariyer krem, Termal sprey","Termal su spreyi, Bariyer onarıcı krem, Anti-Redness krem"
Gül hastalığı,28.  Sıcak havalarda  yoğun egzersizden sonra yüzümün kızardığını ve  yanma hissi ile birlikte karıncalandığını hissediyorum.,hassas,"Azelaik asit krem, Sükralfat bariyer krem, Termal sprey","Termal su spreyi, Bariyer onarıcı krem, Anti-Redness krem"
Gül hastalığı,29. Spor sonrası yüzümün  kızardığını ve özellikle sıcak havalarda  bu durumun daha belirgin ve rahatsız edici olduğunu fark ettim.,hassas,"Azelaik asit krem, Sükralfat bariyer krem, Termal sprey","Termal su spreyi, Bariyer onarıcı krem, Anti-Redness krem"
Gül hastalığı,"30.  Yoğun antrenman yaptığım zamanlarda, özellikle hava sıcak olduğunda, yüzümdeki kızarıklık ve yanma hissi beni endişelendiriyor.",hassas,"Azelaik asit krem, Sükralfat bariyer krem, Termal sprey","Termal su spreyi, Bariyer onarıcı krem, Anti-Redness krem"
Zona (Herpes Zoster),1. Kaburgalarımın sağ tarafında yanma hissi veren bir döküntüm var.,tum,"Asiklovir krem, Yatıştırıcı losyon, Lidokainli krem",
